"year","scenario","variable","iter","value"
1980,"F.low","catch","4",61323.02223
1981,"F.low","catch","4",33421.74113
1982,"F.low","catch","4",36425.17196
1983,"F.low","catch","4",27200.90601
1984,"F.low","catch","4",28211.43372
1985,"F.low","catch","4",45198.39548
1986,"F.low","catch","4",16446.271
1987,"F.low","catch","4",4848.318151
1988,"F.low","catch","4",11623.87497
1989,"F.low","catch","4",14286.63534
1990,"F.low","catch","4",14363.17508
1991,"F.low","catch","4",21371.01332
1992,"F.low","catch","4",14557.37862
1993,"F.low","catch","4",14561.88131
1994,"F.low","catch","4",21424.41375
1995,"F.low","catch","4",35664.7971
1996,"F.low","catch","4",30303.80881
1997,"F.low","catch","4",39040.09087
1998,"F.low","catch","4",32294.13963
1999,"F.low","catch","4",29382.57464
2000,"F.low","catch","4",37952.39043
2001,"F.low","catch","4",33983.79591
2002,"F.low","catch","4",26721.01213
2003,"F.low","catch","4",31172.07829
2004,"F.low","catch","4",38858.99643
2005,"F.low","catch","4",57300.94046
2006,"F.low","catch","4",60802.71836
2007,"F.low","catch","4",65316.92518
2008,"F.low","catch","4",49100.95557
2009,"F.low","catch","4",52268.52301
2010,"F.low","catch","4",53709.64951
2011,"F.low","catch","4",45263.0135
2012,"F.low","catch","4",36044.85372
2013,"F.low","catch","4",28043.03506
2014,"F.low","catch","4",31943.05776
2015,"F.low","catch","4",39736.66714
2016,"F.low","catch","4",34251.71084
2017,"F.low","catch","4",25327.8399210107
2018,"F.low","catch","4",2256.49143503658
2019,"F.low","catch","4",2860.66187601094
2020,"F.low","catch","4",2475.92627261791
2021,"F.low","catch","4",5523.66845705442
2022,"F.low","catch","4",4825.64840014076
2023,"F.low","catch","4",3438.42078656671
2024,"F.low","catch","4",2432.73152920996
2025,"F.low","catch","4",2089.56694691006
1975,"F.low","catch","5",22048.73007
1976,"F.low","catch","5",28000.72942
1977,"F.low","catch","5",35565.00354
1978,"F.low","catch","5",54624.17894
1979,"F.low","catch","5",50378.17164
1980,"F.low","catch","5",61323.02223
1981,"F.low","catch","5",33421.74113
1982,"F.low","catch","5",36425.17196
1983,"F.low","catch","5",27200.90601
1984,"F.low","catch","5",28211.43372
1985,"F.low","catch","5",45198.39548
1986,"F.low","catch","5",16446.271
1987,"F.low","catch","5",4848.318151
1988,"F.low","catch","5",11623.87497
1989,"F.low","catch","5",14286.63534
1990,"F.low","catch","5",14363.17508
1991,"F.low","catch","5",21371.01332
1992,"F.low","catch","5",14557.37862
1993,"F.low","catch","5",14561.88131
1994,"F.low","catch","5",21424.41375
1995,"F.low","catch","5",35664.7971
1996,"F.low","catch","5",30303.80881
1997,"F.low","catch","5",39040.09087
1998,"F.low","catch","5",32294.13963
1999,"F.low","catch","5",29382.57464
2000,"F.low","catch","5",37952.39043
2001,"F.low","catch","5",33983.79591
2002,"F.low","catch","5",26721.01213
2003,"F.low","catch","5",31172.07829
2004,"F.low","catch","5",38858.99643
2005,"F.low","catch","5",57300.94046
2006,"F.low","catch","5",60802.71836
2007,"F.low","catch","5",65316.92518
2008,"F.low","catch","5",49100.95557
2009,"F.low","catch","5",52268.52301
2010,"F.low","catch","5",53709.64951
2011,"F.low","catch","5",45263.0135
2012,"F.low","catch","5",36044.85372
2013,"F.low","catch","5",28043.03506
2014,"F.low","catch","5",31943.05776
2015,"F.low","catch","5",39736.66714
2016,"F.low","catch","5",34251.71084
2017,"F.low","catch","5",27149.1576919043
2018,"F.low","catch","5",2179.33473025731
2019,"F.low","catch","5",2865.07308451582
2020,"F.low","catch","5",2479.25767009222
2021,"F.low","catch","5",5531.0840616122
2022,"F.low","catch","5",4831.97961627881
2023,"F.low","catch","5",3444.81901465984
2024,"F.low","catch","5",2437.36873811197
2025,"F.low","catch","5",2096.28089559696
1975,"F.low","fbar","1",0.223390264014597
1976,"F.low","fbar","1",0.207958699154169
1977,"F.low","fbar","1",0.189100714429127
1978,"F.low","fbar","1",0.210654749389216
1979,"F.low","fbar","1",0.220967676608777
1980,"F.low","fbar","1",0.234422083295505
1981,"F.low","fbar","1",0.237256847684169
1982,"F.low","fbar","1",0.259517346279892
1983,"F.low","fbar","1",0.268388368979511
1984,"F.low","fbar","1",0.316657161695015
1985,"F.low","fbar","1",0.343308949390219
1986,"F.low","fbar","1",0.28970395200398
1987,"F.low","fbar","1",0.257263248182139
1988,"F.low","fbar","1",0.301352485409262
1989,"F.low","fbar","1",0.338988653989685
1990,"F.low","fbar","1",0.379876793501071
1991,"F.low","fbar","1",0.395795909275412
1992,"F.low","fbar","1",0.386046407253201
1993,"F.low","fbar","1",0.379025022729378
1994,"F.low","fbar","1",0.358839539860615
1995,"F.low","fbar","1",0.419063373391721
1996,"F.low","fbar","1",0.435238398232084
1997,"F.low","fbar","1",0.446845497415713
1998,"F.low","fbar","1",0.466681766525075
1999,"F.low","fbar","1",0.512380863982862
2000,"F.low","fbar","1",0.587526728646748
2001,"F.low","fbar","1",0.693520622365843
2002,"F.low","fbar","1",0.756759556329319
2003,"F.low","fbar","1",0.755945113687462
2004,"F.low","fbar","1",0.685028389968117
2005,"F.low","fbar","1",0.621258154409723
2006,"F.low","fbar","1",0.628238725038102
2007,"F.low","fbar","1",0.785703046089394
2008,"F.low","fbar","1",0.8818793813063
2009,"F.low","fbar","1",0.946163614487255
2010,"F.low","fbar","1",1.02920417464399
2011,"F.low","fbar","1",1.22485504213235
2012,"F.low","fbar","1",1.2176210325003
2013,"F.low","fbar","1",1.21605275043524
2014,"F.low","fbar","1",1.43108238505987
2015,"F.low","fbar","1",1.5758026412183
2016,"F.low","fbar","1",1.67992481409884
2017,"F.low","fbar","1",2
2018,"F.low","fbar","1",0.179735637066688
2019,"F.low","fbar","1",0.150748642683592
2020,"F.low","fbar","1",0.109442869100868
2021,"F.low","fbar","1",0.28656389745893
2022,"F.low","fbar","1",0.393920370390966
2023,"F.low","fbar","1",0.419259129641534
2024,"F.low","fbar","1",0.467380508996787
2025,"F.low","fbar","1",0.792768496423734
1975,"F.low","fbar","2",0.170091407433291
1976,"F.low","fbar","2",0.17013333933026
1977,"F.low","fbar","2",0.188620752480608
1978,"F.low","fbar","2",0.213642638501744
1979,"F.low","fbar","2",0.211280317800862
1980,"F.low","fbar","2",0.217734841596185
1981,"F.low","fbar","2",0.216835958881735
1982,"F.low","fbar","2",0.22417227831489
1983,"F.low","fbar","2",0.235168017252534
1984,"F.low","fbar","2",0.259993244776007
1985,"F.low","fbar","2",0.30126780693518
1986,"F.low","fbar","2",0.265405143207748
1987,"F.low","fbar","2",0.254403503944875
1988,"F.low","fbar","2",0.269695783857544
1989,"F.low","fbar","2",0.276236215601358
1990,"F.low","fbar","2",0.278902776294511
1991,"F.low","fbar","2",0.310447113404976
1992,"F.low","fbar","2",0.368657441179332
1993,"F.low","fbar","2",0.365776195528077
1994,"F.low","fbar","2",0.37579053027705
1995,"F.low","fbar","2",0.466628632864582
1996,"F.low","fbar","2",0.492883067577475
1997,"F.low","fbar","2",0.584296419406394
1998,"F.low","fbar","2",0.551225902776647
1999,"F.low","fbar","2",0.556638724988218
2000,"F.low","fbar","2",0.725512312821731
2001,"F.low","fbar","2",0.830211797138445
2002,"F.low","fbar","2",0.837680009738691
2003,"F.low","fbar","2",0.774581038743668
2004,"F.low","fbar","2",0.64949983873552
2005,"F.low","fbar","2",0.567446045345908
2006,"F.low","fbar","2",0.636856332997669
2007,"F.low","fbar","2",0.776209088493042
2008,"F.low","fbar","2",0.904917096792443
2009,"F.low","fbar","2",1.01032176388582
2010,"F.low","fbar","2",1.22715972168937
2011,"F.low","fbar","2",1.40848476872425
2012,"F.low","fbar","2",1.21359836400999
2013,"F.low","fbar","2",0.989071169955434
2014,"F.low","fbar","2",1.25064368893439
2015,"F.low","fbar","2",1.55883114171565
2016,"F.low","fbar","2",1.66168804640738
2017,"F.low","fbar","2",2
2018,"F.low","fbar","2",0.133064457030829
2019,"F.low","fbar","2",0.0984674915332025
2020,"F.low","fbar","2",0.0641016155723897
2021,"F.low","fbar","2",0.121106611052265
2022,"F.low","fbar","2",0.086561788373186
