"year","scenario","variable","iter","value"
2017,"F.msy","fbar","1",2.13946150825583
2018,"F.msy","fbar","1",0.609542138232372
2019,"F.msy","fbar","1",0.4327988110021
2020,"F.msy","fbar","1",0.307343703552631
2021,"F.msy","fbar","1",0.404157381450285
2022,"F.msy","fbar","1",0.521575167368461
2023,"F.msy","fbar","1",0.563880262279847
2024,"F.msy","fbar","1",0.450442131903738
2025,"F.msy","fbar","1",0.380173008352302
2026,"F.msy","fbar","1",0.400669359223089
2027,"F.msy","fbar","1",0.370369641350175
1975,"F.msy","fbar","2",0.0891184902538819
1976,"F.msy","fbar","2",0.112505169466411
1977,"F.msy","fbar","2",0.126009553144764
1978,"F.msy","fbar","2",0.110270169902892
1979,"F.msy","fbar","2",0.0991734421331482
1980,"F.msy","fbar","2",0.116060195659998
1981,"F.msy","fbar","2",0.21903229893733
1982,"F.msy","fbar","2",0.20237417419749
1983,"F.msy","fbar","2",0.194926330680231
1984,"F.msy","fbar","2",0.205322996176929
1985,"F.msy","fbar","2",0.178700082051321
1986,"F.msy","fbar","2",0.211157173831569
1987,"F.msy","fbar","2",0.248494222495715
1988,"F.msy","fbar","2",0.269181736908353
1989,"F.msy","fbar","2",0.296415509437487
1990,"F.msy","fbar","2",0.246025326123462
1991,"F.msy","fbar","2",0.21092276140722
1992,"F.msy","fbar","2",0.150260142889548
1993,"F.msy","fbar","2",0.169257151004085
1994,"F.msy","fbar","2",0.148595480418895
1995,"F.msy","fbar","2",0.167645363860284
1996,"F.msy","fbar","2",0.229721757702639
1997,"F.msy","fbar","2",0.240373491263622
1998,"F.msy","fbar","2",0.288295567353531
1999,"F.msy","fbar","2",0.308264506326192
2000,"F.msy","fbar","2",0.407272282395346
2001,"F.msy","fbar","2",0.439060033458887
2002,"F.msy","fbar","2",0.442166815188869
2003,"F.msy","fbar","2",0.384366503501796
2004,"F.msy","fbar","2",0.402312247641181
2005,"F.msy","fbar","2",0.354186981674014
2006,"F.msy","fbar","2",0.345096287485584
2007,"F.msy","fbar","2",0.338196568951453
2008,"F.msy","fbar","2",0.366429567349902
2009,"F.msy","fbar","2",0.576690004233385
2010,"F.msy","fbar","2",0.504169206542376
2011,"F.msy","fbar","2",0.903564653352547
2012,"F.msy","fbar","2",1.00833127600388
2013,"F.msy","fbar","2",1.17856808815664
2014,"F.msy","fbar","2",1.69427955280132
2015,"F.msy","fbar","2",1.45302622960645
2016,"F.msy","fbar","2",1.56981863036812
2017,"F.msy","fbar","2",1.57063960567781
2018,"F.msy","fbar","2",0.366964576959506
2019,"F.msy","fbar","2",0.269815568027475
2020,"F.msy","fbar","2",0.226201564768784
2021,"F.msy","fbar","2",0.403695555656274
2022,"F.msy","fbar","2",0.440786815449673
2023,"F.msy","fbar","2",0.473535460685656
2024,"F.msy","fbar","2",0.549103113762492
2025,"F.msy","fbar","2",0.587647336600539
2026,"F.msy","fbar","2",0.599609782562446
2027,"F.msy","fbar","2",0.612792559041043
1975,"Bpa.Fmsy2020","ssb","1",553687.901324606
1976,"Bpa.Fmsy2020","ssb","1",595252.749632099
1977,"Bpa.Fmsy2020","ssb","1",615799.085658426
1978,"Bpa.Fmsy2020","ssb","1",568760.375917152
1979,"Bpa.Fmsy2020","ssb","1",578527.582969652
1980,"Bpa.Fmsy2020","ssb","1",615559.041957258
1981,"Bpa.Fmsy2020","ssb","1",721392.766786412
1982,"Bpa.Fmsy2020","ssb","1",710477.642903627
1983,"Bpa.Fmsy2020","ssb","1",697897.34567718
1984,"Bpa.Fmsy2020","ssb","1",683567.966760764
1985,"Bpa.Fmsy2020","ssb","1",577895.879023184
1986,"Bpa.Fmsy2020","ssb","1",517088.438043707
1987,"Bpa.Fmsy2020","ssb","1",464285.698607911
